國文,英文,數學,社會,自然
11,6,13,14,11
15,14,7,8,7
8,7,15,11,7
11,13,13,11,10
11,9,11,9,15
6,7,8,15,9
7,9,10,8,15
12,11,13,12,6
11,9,15,12,12
8,13,8,15,13
9,11,8,14,15
13,13,9,13,15
14,10,10,8,12
12,15,9,8,6
9,6,11,12,11
8,6,7,15,14
9,13,14,6,13
13,7,12,8,12
8,14,6,14,6
12,8,12,12,13
9,12,9,8,12
6,14,7,10,15
8,7,12,12,15
8,14,15,10,15
6,14,6,7,7
12,8,14,6,6
8,11,6,6,13
13,13,14,11,14
9,15,12,15,10
14,8,12,12,9
12,9,10,15,14
8,11,9,14,12
14,10,11,14,9
6,11,12,9,6
15,11,15,11,13
8,7,6,11,14
8,15,12,13,12
9,11,14,6,6
7,11,11,11,9
8,6,11,11,13
13,15,6,12,7
12,10,9,15,11
7,6,9,12,9
11,12,8,11,8
11,8,10,13,13
15,7,6,8,13
6,12,10,14,11
14,8,14,15,11
10,11,7,9,12
11,12,7,6,7
14,9,7,7,9
14,13,15,12,11
8,7,14,8,11
11,8,14,7,8
6,12,10,15,13
11,10,10,14,10
9,8,15,8,14
9,6,7,6,14
6,13,7,15,11
7,8,9,14,7
8,12,9,11,11
6,15,12,14,12
14,7,8,9,11
11,9,13,7,7
6,12,8,12,6
6,10,14,11,12
7,9,15,12,8
15,10,12,10,15
6,14,9,9,14
14,7,9,6,11
12,12,10,9,11
14,6,15,14,14
11,9,10,11,10
15,13,11,9,15
10,10,12,10,14
10,11,7,8,15
15,9,9,9,8
15,12,15,7,8
14,7,14,15,9
9,11,10,13,15
8,10,12,8,9
15,9,10,9,11
14,8,12,6,12
15,11,15,15,11
7,9,10,15,7
11,10,6,15,12
14,8,12,7,15
9,8,10,14,14
6,13,12,7,12
10,8,7,13,12
6,9,8,14,6
12,15,6,13,7
13,7,14,8,11
13,6,11,7,15
14,14,10,14,15
15,15,14,6,13
8,6,14,7,9
13,15,6,8,7
10,7,7,9,11
9,8,13,12,13
